,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2016-12-06,2016-12-06,2016-12-06,Day,73.35
1,2016-12-06,2016-12-07,2016-12-07,Day,67.18
2,2016-12-06,2016-12-08,2016-12-08,Day,60.57
3,2016-12-06,2016-12-09,2016-12-09,Day,63.0
4,2016-12-06,2016-12-01,2016-12-30,Month,75.35
5,2016-12-06,2017-01-02,2017-01-31,Month,85.06
6,2016-12-06,2017-02-01,2017-02-28,Month,73.06
7,2016-12-06,2017-03-01,2017-03-31,Month,51.22
8,2016-12-06,2017-01-02,2017-03-31,Quarter,69.39
9,2016-12-06,2017-04-03,2017-06-30,Quarter,38.22
10,2016-12-06,2017-07-03,2017-09-29,Quarter,36.87
11,2016-12-06,2017-10-02,2017-12-29,Quarter,51.69
12,2016-12-06,2016-12-05,2016-12-09,Week,67.36
13,2016-12-06,2016-12-12,2016-12-16,Week,75.5
14,2016-12-06,2016-12-19,2016-12-23,Week,88.1
15,2016-12-06,2016-12-26,2016-12-30,Week,60.0
16,2016-12-06,2017-01-02,2017-01-06,Week,85.0
17,2016-12-06,2016-12-10,2016-12-11,Weekend,0.01
18,2016-12-06,2016-12-17,2016-12-18,Weekend,0.01
19,2016-12-06,2017-01-02,2017-12-30,Year,49.04
20,2016-12-06,2018-01-01,2019-01-01,Year,46.83
21,2016-12-06,2019-01-01,2020-01-01,Year,48.62
