,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2024-10-25,2024-10-25,2024-10-26,Day,59.30
1,2024-10-25,2024-10-26,2024-10-27,Day,57.23
2,2024-10-25,2024-10-27,2024-10-28,Day,38.65
3,2024-10-25,2024-10-28,2024-10-29,Day,82.96
4,2024-10-25,2024-10-29,2024-10-30,Day,95.02
5,2024-10-25,2024-10-30,2024-10-31,Day,96.59
6,2024-10-25,2024-10-31,2024-11-01,Day,76.18
7,2024-10-25,2024-11-01,2024-11-02,Day,40.30
8,2024-10-25,2024-11-02,2024-11-03,Day,48.90
9,2024-10-25,2024-11-03,2024-11-04,Day,42.56
10,2024-10-25,2024-10-01,2024-11-01,Month,61.05
11,2024-10-25,2024-11-01,2024-12-01,Month,83.48
12,2024-10-25,2024-12-01,2025-01-01,Month,84.25
13,2024-10-25,2025-01-01,2025-02-01,Month,96.58
14,2024-10-25,2025-02-01,2025-03-01,Month,101.68
15,2024-10-25,2025-03-01,2025-04-01,Month,82.39
16,2024-10-25,2025-04-01,2025-05-01,Month,63.54
17,2024-10-25,2025-01-01,2025-04-01,Quarter,93.28
18,2024-10-25,2025-04-01,2025-07-01,Quarter,57.92
19,2024-10-25,2025-07-01,2025-10-01,Quarter,67.62
20,2024-10-25,2025-10-01,2026-01-01,Quarter,83.99
21,2024-10-25,2026-01-01,2026-04-01,Quarter,93.23
22,2024-10-25,2026-04-01,2026-07-01,Quarter,44.82
23,2024-10-25,2026-07-01,2026-10-01,Quarter,51.67
24,2024-10-25,2026-10-01,2027-01-01,Quarter,76.83
25,2024-10-25,2027-01-01,2027-04-01,Quarter,92.77
26,2024-10-25,2027-04-01,2027-07-01,Quarter,41.43
27,2024-10-25,2024-10-21,2024-10-28,Week,65.46
28,2024-10-25,2024-10-28,2024-11-04,Week,68.93
29,2024-10-25,2024-11-04,2024-11-11,Week,91.52
30,2024-10-25,2024-11-11,2024-11-18,Week,82.63
31,2024-10-25,2024-11-18,2024-11-25,Week,83.00
32,2024-10-25,2024-10-26,2024-10-28,Weekend,47.75
33,2024-10-25,2024-11-02,2024-11-04,Weekend,45.73
34,2024-10-25,2025-01-01,2026-01-01,Year,75.65
35,2024-10-25,2026-01-01,2027-01-01,Year,66.55
36,2024-10-25,2027-01-01,2028-01-01,Year,63.52
37,2024-10-25,2028-01-01,2029-01-01,Year,63.21
38,2024-10-25,2029-01-01,2030-01-01,Year,63.45
